timestamp,user_input,intent,confidence,response,is_fallback,is_ood
2026-05-17 21:02:20,weather in london,fallback,0.0000,"I can only help with university-related student information such as registration, fees, exams, courses, locations, and scholarships.",True,True
2026-05-17 21:02:20,bitcoin price,fallback,0.0000,"I currently support student information topics like registration, examinations, fees, courses, and campus services.",True,True
2026-05-17 21:02:20,tell me a joke,fallback,0.0000,"I can only help with university-related student information such as registration, fees, exams, courses, locations, and scholarships.",True,True
2026-05-17 21:02:20,football results,fallback,0.0000,"I currently support student information topics like registration, examinations, fees, courses, and campus services.",True,True
2026-05-17 21:02:20,how to cook rice,fallback,0.0000,"I'm designed specifically for university student support. Please ask about academic services, schedules, tuition, or campus information.",True,True
2026-05-17 21:02:20,latest movie,fallback,0.0000,"I can only help with university-related student information such as registration, fees, exams, courses, locations, and scholarships.",True,True
2026-05-17 21:02:20,stock market today,fallback,0.0000,"I currently support student information topics like registration, examinations, fees, courses, and campus services.",True,True
2026-05-17 21:02:20,who won the match,fallback,0.0000,"I'm designed specifically for university student support. Please ask about academic services, schedules, tuition, or campus information.",True,True
2026-05-17 21:02:26,what is the price of ethereum,fallback,0.3050,"I currently support student information topics like registration, examinations, fees, courses, and campus services.",True,False
2026-05-17 21:02:26,best recipe for chocolate cake,fallback,0.2072,"I can only help with university-related student information such as registration, fees, exams, courses, locations, and scholarships.",True,False
2026-05-17 21:02:26,tell me a joke about programming,fallback,0.0000,"I'm designed specifically for university student support. Please ask about academic services, schedules, tuition, or campus information.",True,True
2026-05-17 21:02:26,who is the celebrity in the news today,fallback,0.0000,"I currently support student information topics like registration, examinations, fees, courses, and campus services.",True,True
2026-05-17 21:02:26,show me basketball matches this weekend,fallback,0.0000,"I can only help with university-related student information such as registration, fees, exams, courses, locations, and scholarships.",True,True
2026-05-17 21:02:26,let's talk about politics and election,fallback,0.0000,"I'm designed specifically for university student support. Please ask about academic services, schedules, tuition, or campus information.",True,True
2026-05-17 21:02:26,are you into online dating apps,fallback,0.0000,"I currently support student information topics like registration, examinations, fees, courses, and campus services.",True,True
2026-05-17 21:02:26,how do i hack a university database,fallback,0.3829,"I can only help with university-related student information such as registration, fees, exams, courses, locations, and scholarships.",True,False
2026-05-17 21:02:26,python programming tutorial for beginners,fallback,0.0000,"I'm designed specifically for university student support. Please ask about academic services, schedules, tuition, or campus information.",True,True
2026-05-17 21:02:26,what is the weather like today,fallback,0.0000,"I can only help with university-related student information such as registration, fees, exams, courses, locations, and scholarships.",True,True
2026-05-17 21:02:26,what is the price of bitcoin and other crypto,fallback,0.0000,"I currently support student information topics like registration, examinations, fees, courses, and campus services.",True,True
2026-05-17 21:02:26,what is your favorite pop music band,fallback,0.0000,"I'm designed specifically for university student support. Please ask about academic services, schedules, tuition, or campus information.",True,True
2026-05-17 21:02:27,registration deadline,fallback,0.6122,"I can only help with university-related student information such as registration, fees, exams, courses, locations, and scholarships.",True,False
2026-05-17 21:02:27,tuition fees,fallback,1.0000,"Could you clarify which service, office, department, or topic you mean?",True,False
2026-05-17 21:02:27,exam schedule,exam,0.7250,Supplementary examinations for failed modules are scheduled during the summer term. Timetables are sent directly to eligible student portals.,False,False
2026-05-17 21:02:27,scholarship application,scholarship,1.0000,"The Merit Scholarship offers Up to 50% tuition waiver. Requirements: Minimum cumulative GPA of 3.5 each semester. The deadline is November 15, annually.",False,False
2026-05-17 21:02:27,where is the library,location,1.0000,The library is located near Block B beside the administration building.,False,False
2026-05-17 21:02:27,registrar contact,contacts,1.0000,You can contact the Registrar desk at registrar@university.edu (Ext. 104). They operate from 9:00 AM - 5:00 PM (Monday - Friday).,False,False
2026-05-17 21:02:27,courses in software engineering,courses,0.7312,"If you need help selecting a major or understanding prerequisite requirements, schedule an advising session with your academic advisor on the student portal.",False,False
2026-05-17 21:02:27,tuition fee payment options,fees,0.7899,Late registration or deferred fee payment requests must be officially submitted and approved by the finance office before the standard payment deadline.,False,False
2026-05-17 21:02:27,how to register for courses,fallback,0.5640,"I currently support student information topics like registration, examinations, fees, courses, and campus services.",True,False
2026-05-17 21:02:27,when is the academic calendar starting,schedule,0.7995,"The final deadline to add or drop courses without academic penalty is at the end of the second week of classes, as marked on the calendar.",False,False
2026-05-17 21:02:27,where can i find block c,schedule,0.9000,"All official academic dates, holiday breaks, exam routines, and registration timelines are finalized by the Senate and published on the university schedule.",False,False
2026-05-17 21:02:27,finance office telephone number,location,1.0000,"The Finance is situated on the Block A, First Floor, Room 112.",False,False
2026-05-17 21:02:27,merit scholarship requirements,scholarship,1.0000,"The Merit Scholarship offers Up to 50% tuition waiver. Requirements: Minimum cumulative GPA of 3.5 each semester. The deadline is November 15, annually.",False,False
2026-05-17 21:02:27,what is the address of the campus library,location,1.0000,The library is located near Block B beside the administration building.,False,False
2026-05-17 21:02:27,how much does accounting program cost,fees,1.0000,I currently do not have fee examples for the Accounting program.,False,False
2026-05-17 21:02:27,when do registration periods open,registration,0.7620,Official registration is done in coordination with your academic advisor. Please verify that you have cleared all previous semester finance holds before trying to enroll.,False,False
2026-05-17 21:02:27,what is the email of student affairs,contacts,1.0000,You can contact the Student Affairs desk at studentaffairs@university.edu. They operate from 8:30 AM - 5:30 PM (Monday - Friday).,False,False
2026-05-17 21:02:27,final exam routine software engineering,exam,1.0000,The examination schedule for Software Engineering is set for June 14 - June 16 (Block B Exam Halls).,False,False
2026-05-17 21:02:27,tuition fees per semester,fees,0.7362,Please ensure that your semester tuition fees are paid before the end of the 4th week of the term to avoid billing blocks and late payment penalties.,False,False
2026-05-17 21:02:27,where is the cafeteria located,fallback,0.5671,"I'm designed specifically for university student support. Please ask about academic services, schedules, tuition, or campus information.",True,False
